iter	Passed	Remaining
428	16216	2683
429	16250	2645
430	16285	2607
431	16320	2568
432	16355	2530
433	16389	2492
434	16425	2454
435	16462	2416
436	16495	2378
437	16529	2339
438	16566	2301
439	16601	2263
440	16648	2227
441	16687	2189
442	16724	2151
443	16767	2114
444	16807	2077
445	16842	2039
446	16880	2001
447	16919	1963
448	16957	1926
449	16995	1888
450	17030	1850
451	17068	1812
452	17103	1774
453	17141	1736
454	17178	1698
455	17214	1661
456	17251	1623
457	17287	1585
458	17323	1547
459	17359	1509
460	17394	1471
461	17430	1433
462	17467	1395
463	17503	1358
464	17539	1320
465	17579	1282
466	17616	1244
467	17655	1207
468	17693	1169
469	17730	1131
470	17769	1094
471	17806	1056
472	17843	1018
473	17880	980
474	17917	943
475	17953	905
476	17992	867
477	18029	829
478	18066	792
479	18102	754
480	18136	716
481	18173	678
482	18208	640
483	18244	603
484	18281	565
485	18315	527
486	18354	489
487	18391	452
488	18428	414
489	18465	376
490	18501	339
491	18538	301
492	18576	263
493	18611	226
494	18649	188
495	18684	150
496	18719	112
497	18756	75
498	18792	37
499	18828	0
