iter	MultiClass
185	0.3804474044
186	0.3796523225
187	0.3786540652
188	0.3776169151
189	0.3766601139
190	0.375693223
191	0.3747105507
192	0.3741681181
193	0.3730747901
194	0.3719874687
195	0.3709075024
196	0.3698295948
197	0.3689305687
198	0.367887893
199	0.3670779973
200	0.3659916516
201	0.3651936544
202	0.3643946928
203	0.3638838506
204	0.3629824148
205	0.3616268424
206	0.3604760671
207	0.359656727
208	0.3586438409
209	0.3579615404
210	0.3572425264
211	0.3563385751
212	0.3553220496
213	0.3542169877
214	0.3531520855
215	0.3522212456
216	0.351270647
217	0.3507776238
218	0.3499198177
219	0.3487200563
220	0.3478614408
221	0.3472442635
222	0.3467587874
223	0.3459809657
224	0.344986174
225	0.3445879972
226	0.3435210814
227	0.343090855
228	0.3422680046
229	0.3414387976
230	0.3404028314
231	0.3394920459
232	0.3384480085
233	0.3373661464
234	0.3362266043
235	0.3353979886
236	0.3346965159
237	0.3339455572
238	0.3328464085
239	0.332458527
240	0.3316680899
241	0.3308412282
242	0.3299724473
243	0.3291199709
244	0.328457166
245	0.3275608517
246	0.326720862
247	0.3260936686
248	0.3253502108
249	0.3244737494
250	0.3237924032
251	0.3231881611
252	0.322335686
253	0.3215754444
254	0.3207888523
255	0.3201837424
256	0.3197006348
257	0.3190679799
258	0.3185376537
259	0.3179355834
260	0.3172022903
261	0.3164809118
262	0.3155334559
263	0.3150514544
264	0.3144528287
265	0.3136257891
266	0.3129216452
267	0.3119444339
268	0.3110838963
269	0.3107561223
270	0.3101625577
271	0.309441235
272	0.3086760747
273	0.3079269913
274	0.3072207527
275	0.3067806297
276	0.3059591393
277	0.3051267519
278	0.3043580969
279	0.3038887806
280	0.3029759574
281	0.3023553916
282	0.3015899014
283	0.3009180991
284	0.3000094335
285	0.2996145244
286	0.2991621469
287	0.2983774037
288	0.2974566959
289	0.2970590821
290	0.29618401
291	0.2955781816
292	0.2949698217
293	0.2945419875
294	0.2932405
295	0.2923895627
296	0.292026019
297	0.2917168506
298	0.2908188188
299	0.2902645596
300	0.2892396729
301	0.2880901544
302	0.2875483252
303	0.286623068
304	0.2858859278
305	0.2852753521
306	0.2848224579
307	0.2843680637
308	0.2836117572
309	0.2830508072
310	0.2823940392
311	0.2816280404
312	0.2808624708
313	0.2800858094
314	0.2793403379
315	0.2786423289
316	0.2780496671
317	0.2774378357
318	0.2767685922
319	0.2760156993
320	0.2753338367
321	0.275027471
322	0.2742777447
323	0.2736507135
324	0.2729362209
325	0.2726538891
326	0.2723562437
327	0.2717961402
328	0.2714284572
329	0.2710146952
330	0.2706419313
331	0.2702918637
332	0.2699867746
333	0.2697305696
334	0.2690830969
335	0.2686250628
336	0.2682891395
337	0.2678924254
338	0.2673296001
339	0.2667150377
340	0.2661718373
341	0.2654440409
342	0.2653019714
343	0.2645846777
344	0.2640210948
345	0.2632231532
346	0.2627229998
347	0.2623414197
348	0.261706448
349	0.2609996127
350	0.2604483675
351	0.2597439372
352	0.2593133391
353	0.2590883846
354	0.2584211678
355	0.2575855944
356	0.2571778921
357	0.2567127358
358	0.2562025067
359	0.2557171996
360	0.2548781311
361	0.254424707
362	0.2538335848
363	0.253342948
364	0.2527644117
365	0.2522329172
366	0.251896723
367	0.2516497164
368	0.2507987374
369	0.2503712858
370	0.249763306
371	0.249079644
372	0.2484609437
373	0.2481237236
374	0.2475829813
375	0.2471907261
376	0.24669027
377	0.2461583034
378	0.2457202302
379	0.2451616883
380	0.2446688921
381	0.2443570927
382	0.2438172116
383	0.2434857013
384	0.2429021466
385	0.2425741318
386	0.2421767971
387	0.2417981035
388	0.241330633
389	0.2407390241
390	0.2403967825
391	0.239739737
392	0.2390775285
393	0.2386307252
394	0.2383900391
395	0.2379509721
396	0.237538974
397	0.2369448123
398	0.2366035446
399	0.2361968272
400	0.2357127165
401	0.2351906517
402	0.2347322021
403	0.2342950784
404	0.2335119629
405	0.2331370744
406	0.2324631955
407	0.2321853533
408	0.2315618844
409	0.230961748
410	0.2306072732
411	0.2302234885
412	0.2297593105
413	0.2294753871
414	0.2292309683
415	0.2288651679
416	0.2285103068
417	0.2282668199
418	0.2279438182
419	0.2276036706
420	0.2273111179
421	0.226870507
422	0.2264726711
423	0.2260913061
424	0.2256100875
425	0.2251508474
426	0.2247945945
427	0.2242550228
428	0.2239574432
429	0.2236310131
430	0.2231888122
431	0.2228042681
432	0.2224308022
433	0.2221536156
434	0.2218296238
435	0.2217029674
436	0.2213281995
437	0.2209921219
438	0.2205758737
439	0.2202759354
440	0.2200620486
441	0.2196451635
442	0.2191283087
443	0.2187553822
444	0.2182750631
445	0.2180775692
446	0.2177916963
447	0.2174692791
448	0.2170848806
449	0.2168772198
450	0.2163810852
451	0.2160802072
452	0.2157376465
453	0.2153594637
454	0.2149684649
455	0.2147450089
456	0.214252969
457	0.2137854004
458	0.2135152321
459	0.2133003439
460	0.2129817027
461	0.2127880775
462	0.2123501095
463	0.2120496773
464	0.2114932824
465	0.2109991649
466	0.2105287783
467	0.210146179
468	0.2096817608
469	0.2094852931
470	0.2091615672
471	0.208794872
472	0.2084033658
473	0.2081028593
474	0.2074993843
475	0.2073048799
476	0.2070460435
477	0.2066604896
478	0.206330045
479	0.2061509059
480	0.2057272966
481	0.2053841239
482	0.2050534863
483	0.2045214342
484	0.2042343198
485	0.2039453519
486	0.203360353
487	0.2027978299
488	0.2025995134
489	0.2022776681
490	0.2019626995
491	0.201615361
492	0.2011194856
493	0.2008058191
494	0.2002455818
495	0.1999027394
496	0.1997601302
497	0.1992843816
498	0.1988749419
499	0.1985346999
